NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,M,4,2077556,2084295,2106228,2099226,2037855,2044770,2057652,2040555,2044539,2058006,2068251,2052982
USA,M,5,2072102,2076552,2089397,2111297,2104609,2044132,2051812,2065281,2048118,2050649,2063176,2072391
USA,M,6,2075330,2079427,2081794,2094484,2116598,2110609,2050863,2059138,2072597,2054029,2055583,2067201
USA,M,7,2057082,2063163,2084406,2086653,2099578,2122609,2117169,2057966,2065915,2078197,2058425,2059255
USA,M,8,2065459,2054455,2068032,2089213,2091612,2105426,2129067,2124156,2064602,2071493,2082403,2061955
USA,M,9,2119702,2107026,2059259,2072917,2094266,2097377,2111955,2136011,2130968,2070373,2075719,2085951
USA,M,10,2136007,2142160,2111828,2064182,2077929,2099920,2103824,2118906,2142742,2136727,2074439,2079208
USA,M,11,2103284,2104799,2147013,2116820,2069297,2083718,2106264,2110600,2125259,2148146,2140657,2077786
USA,M,12,2100156,2103656,2109678,2152024,2122002,2075116,2090047,2113160,2116965,2130613,2152085,2143929
USA,M,13,2104932,2104928,2108841,2114843,2157355,2128065,2081713,2097241,2119845,2122616,2134771,2155552
USA,M,14,2135596,2122875,2110556,2114385,2120660,2164213,2135404,2089327,2104341,2125846,2127210,2138493
USA,M,15,2177104,2170381,2129212,2116779,2121065,2128668,2172730,2144039,2097409,2111119,2131232,2131384
USA,M,16,2216153,2214929,2178633,2137213,2125197,2130552,2138534,2182893,2153352,2105283,2117603,2136152
USA,M,17,2263110,2251929,2225607,2188883,2147623,2136786,2142092,2150567,2193754,2162400,2113160,2123092
USA,M,18,2290490,2292514,2253602,2226704,2189261,2150069,2138433,2142970,2147947,2179923,2146977,2095088
USA,M,19,2298572,2292954,2281275,2239577,2208022,2174964,2136892,2123045,2124628,2128733,2168344,2133349
USA,M,20,2252230,2275374,2297454,2285330,2239995,2213087,2179814,2139703,2123459,2125025,2128869,2166593
USA,M,21,2160378,2177492,2281865,2307218,2291033,2248371,2222175,2187447,2144734,2127953,2128013,2129813
USA,M,22,2113161,2121562,2186763,2294430,2318969,2304028,2263278,2235741,2198096,2152905,2134516,2132174
USA,M,23,2076779,2086485,2135895,2205044,2312935,2338741,2325146,2283052,2253239,2212384,2164047,2143346
USA,M,24,2102496,2099551,2101547,2153599,2223454,2333255,2360953,2344475,2300897,2267805,2225244,2174759
USA,M,25,2104463,2119300,2112819,2117972,2170329,2241840,2353776,2379902,2360818,2312508,2277738,2233302
USA,M,26,2045458,2050017,2131026,2127968,2133461,2187581,2261940,2371667,2396251,2372789,2322669,2286006
USA,M,27,2093293,2087264,2061317,2145730,2143924,2151192,2207759,2279455,2388290,2406714,2381036,2329098
USA,M,28,2076183,2091365,2097183,2074158,2159627,2160525,2170652,2224400,2294290,2399149,2415882,2388396
USA,M,29,2078887,2072604,2100229,2108866,2086959,2174447,2178784,2186411,2238202,2303455,2406631,2421542
USA,M,30,2124727,2130760,2080278,2110105,2120157,2100272,2190846,2193288,2199111,2246212,2309231,2410899
USA,M,31,1955505,1992812,2137221,2088718,2119697,2131556,2115433,2203419,2205140,2205849,2250471,2311938
USA,M,32,1964210,1955272,1998297,2144222,2097039,2129632,2145122,2127092,2214165,2211631,2210404,2253662
USA,M,33,1909054,1934852,1960308,2003762,2150959,2105183,2141305,2155731,2136348,2220205,2215793,2213487
USA,M,34,1889433,1881892,1938617,1965025,2009030,2157750,2115315,2150155,2163553,2140815,2223038,2217702
